Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Email,Website,Minister/Pastor,URL,Presbytery,pcharge_status,Latitude,Longitude,Attempt,Lat_adj,Lon_adj
"City Central Church, Wollongong",Unknown,9.45,6.00,Cnr Kembla & Burelli Sts,Wollongong,New South Wales,2500,Unknown,Unknown,http://www.wollongongpresychurch.com.au,Brett Richardson,https://preskey.org.au/index.php/new-south-wales-act/item/city-central-church-wollongong?category_id=48,Presbytery of the Illawarra,Full (Sanctioned) Charge,-34.42662,150.8972,0,-34.4243941,150.89385
"Clarence Town, St David's",Unknown,11.00,Unknown,Marshall St,Clarence Town,New South Wales,2321,Unknown,Unknown,http://www.standrewsdungog.org.au,Allan Welch,https://preskey.org.au/index.php/new-south-wales-act/item/clarence-town-st-david-s?category_id=48,Presbytery of the Hunter,Full (Sanctioned) Charge,-32.58741,151.77486,0,-32.5866699,151.775416
Coffs Harbour (Harbourside),Unknown,8.00 & 9.45,5.00,187 Harbour Drv,Coffs Harbour,New South Wales,2450,Unknown,Unknown,http://www.harboursidepc.com.au,Ben Smith,https://preskey.org.au/index.php/new-south-wales-act/item/coffs-harbour?category_id=48,Presbytery of the Mid North Coast,Full (Sanctioned) Charge,-30.29805,153.11736,0,-30.2962407,153.1135293
Comboyne,Unknown,11.15 (4th Sunday),Unknown,12 Thone St,Comboyne,New South Wales,Unknown,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/comboyne?category_id=48,Presbytery of the Mid North Coast,Preaching Centre,-31.60593,152.4705,0,-31.6059599,152.4685476
Como,Unknown,9.30,Unknown,48 Bindea St,Como,New South Wales,2226,Unknown,Unknown,Unknown,Jim Mobbs,https://preskey.org.au/index.php/new-south-wales-act/item/como?category_id=48,Presbytery of Sydney South,Home Mission Charge,-34.00835,151.06079,0,-34.00840875,151.06087277507112
Concord (North Strathfield),Unknown,9.00 & 10.30,Unknown,182 Concord Rd,North Stratfield,New South Wales,2137,Unknown,Unknown,Unknown,Peter Crickitt,https://preskey.org.au/index.php/new-south-wales-act/item/concord-north-strathfield?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.85553,151.09076,0,,
Condobolin,Unknown,Unknown,Unknown,McDonnell St,Condobolin,New South Wales,2877,Unknown,Unknown,Unknown,Barry Best,https://preskey.org.au/index.php/new-south-wales-act/item/condobolin?category_id=48,unknown,Full (Sanctioned) Charge,-33.0842,147.15053,0,-33.0886871,147.1497477
Cook Island,Unknown,10.00,Unknown,121 Rooty Hill Rd South,Rooty Hill,New South Wales,2195,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/cook-island?category_id=48,Presbytery of Western Sydney,Home Mission Charge,-33.78078,150.85137,0,-33.7807206,150.85138267051283
Coolah,Unknown,Unknown,Unknown,Booyamurra St,Coolah,New South Wales,2843,Unknown,Unknown,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/coolah?category_id=48,unknown,Home Mission Charge,-31.82509,149.71428,0,-31.8262087,149.7226571
Coonabarabran,Unknown,10.00,Unknown,12 John St,Coonabarabran,New South Wales,2357,Unknown,Unknown,Unknown,Kristian Hartberg,https://preskey.org.au/index.php/new-south-wales-act/item/coonabarabran?category_id=48,Presbytery of Central West,Full (Sanctioned) Charge,-31.27592,149.27789,0,-31.2728076,149.2733225
Cootamundra,Unknown,10.00,Unknown,Cnr Parker & Francis Sts,Cootamundra,New South Wales,2590,Unknown,Unknown,Unknown,Jeremy Bosshard,https://preskey.org.au/index.php/new-south-wales-act/item/cootamundra?category_id=48,Presbytery of Southern Rivers,Full (Sanctioned) Charge,-34.64357,148.01931,0,-34.6394513,148.025723
Coreen,Unknown,Unknown,Unknown,Main Rd,Coreen,New South Wales,2646,Unknown,Unknown,Unknown,Richard Keith,https://preskey.org.au/index.php/new-south-wales-act/item/coreen?category_id=48,unknown,Full (Sanctioned) Charge,-35.74622,146.34437,0,-35.7484931,146.3451003
Cornerstone (Concord),Unknown,9.30,Unknown,Concord Public School Cnr Burwood Rd & Stanley St,Concord,New South Wales,2137,Unknown,Unknown,http://www.cornerstonechurch.com.au,Simon Wong,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-concord?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.86324,151.10693,0,-33.8556716,151.1067667
Cornerstone (Eastwood),Unknown,9.30,Unknown,"Eastwood Heights Public School, Lincoln St",Eastwood,New South Wales,2122,Unknown,Unknown,http://www.cornerstonechurch.com.au,Choong Seong Tang,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-eastwood?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.78192,151.09541,0,-33.78197375,151.0954371265091
Cornerstone (Homebush Bay),Unknown,9/30,Unknown,64 Victoria Ave,Concord West,New South Wales,2138,Unknown,Unknown,http://www.cornerstonechurch.com.au,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-homebush-bay?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.84774,151.08276,0,-33.847877,151.0827344
Cornerstone (Strathfield),Unknown,9.30,Unknown,Cnr Barker Rd & Marion Rd,Strathfield,New South Wales,2135,Unknown,Unknown,http://www.cornerstonechurch.com.au,Michael Bedros,https://preskey.org.au/index.php/new-south-wales-act/item/cornerstone-strathfield?category_id=48,Presbytery of Sydney Inner West,Full (Sanctioned) Charge,-33.87611,151.07219,0,-33.8798136,151.07850600180825
Corowa,Unknown,9.30,Unknown,Mary St,Corowa,New South Wales,2646,Unknown,Unknown,Unknown,Richard Keith,https://preskey.org.au/index.php/new-south-wales-act/item/corowa?category_id=48,Presbytery of Southern Rivers,Full (Sanctioned) Charge,-35.99633,146.38946,0,-35.9962669,146.3889966
"Cowra, St Peter's",Unknown,9.30,Unknown,50 Macquarie St,Cowra,New South Wales,2974,Unknown,Unknown,http://cowrachurch.org/,Stephen Moore,https://preskey.org.au/index.php/new-south-wales-act/item/cowra-st-peter-s?category_id=48,Presbytery of Central Tablelands,Full (Sanctioned) Charge,-33.83281,148.68867,0,-33.8311463,148.6893697
